# cobo asad aget ch glob lsb
0 3 1 58 2 15
0 3 1 59 2 15
0 3 1 60 2 15
0 3 1 61 2 15
0 3 1 62 2 15
0 3 1 63 2 15
0 3 1 64 2 15
0 3 1 65 2 15
0 3 1 66 2 15
0 3 1 67 2 15
0 3 2 0 2 2
0 3 2 1 2 0
0 3 2 2 2 0
0 3 2 3 2 0
0 3 2 4 2 1
0 3 2 5 2 1
0 3 2 6 2 1
0 3 2 7 2 1
0 3 2 8 2 1
0 3 2 9 2 1
0 3 2 10 2 1
0 3 2 11 2 15
0 3 2 12 2 1
0 3 2 13 2 0
0 3 2 14 2 0
0 3 2 15 2 0
0 3 2 16 2 0
0 3 2 17 2 0
0 3 2 18 2 0
0 3 2 19 2 0
0 3 2 20 2 0
0 3 2 21 2 15
0 3 2 22 2 15
0 3 2 23 2 15
0 3 2 24 2 15
0 3 2 25 2 15
0 3 2 26 2 15
0 3 2 27 2 15
0 3 2 28 2 15
0 3 2 29 2 15
0 3 2 30 2 15
0 3 2 31 2 15
0 3 2 32 2 15
0 3 2 33 2 15
0 3 2 34 2 15
0 3 2 35 2 15
0 3 2 36 2 15
0 3 2 37 2 15
0 3 2 38 2 15
0 3 2 39 2 15
0 3 2 40 2 15
0 3 2 41 2 15
0 3 2 42 2 15
0 3 2 43 2 15
0 3 2 44 2 15
0 3 2 45 2 15
0 3 2 46 2 15
0 3 2 47 2 15
0 3 2 48 2 15
0 3 2 49 2 15
0 3 2 50 2 15
0 3 2 51 2 15
0 3 2 52 2 15
0 3 2 53 2 15
0 3 2 54 2 15
0 3 2 55 2 15
0 3 2 56 2 15
0 3 2 57 2 15
0 3 2 58 2 15
0 3 2 59 2 15
0 3 2 60 2 15
0 3 2 61 2 15
0 3 2 62 2 15
0 3 2 63 2 15
0 3 2 64 2 15
0 3 2 65 2 15
0 3 2 66 2 15
0 3 2 67 2 15
0 3 3 0 2 2
0 3 3 1 2 0
0 3 3 2 2 0
0 3 3 3 2 1
0 3 3 4 2 1
0 3 3 5 2 1
0 3 3 6 2 2
0 3 3 7 2 1
0 3 3 8 2 1
0 3 3 9 2 1
0 3 3 10 2 0
0 3 3 11 2 15
0 3 3 12 2 0
0 3 3 13 2 0
0 3 3 14 2 0
0 3 3 15 2 0
0 3 3 16 2 0
0 3 3 17 2 0
0 3 3 18 2 1
0 3 3 19 2 0
0 3 3 20 2 1
0 3 3 21 2 15
0 3 3 22 2 15
0 3 3 23 2 15
0 3 3 24 2 15
0 3 3 25 2 15
0 3 3 26 2 15
0 3 3 27 2 15
0 3 3 28 2 15
0 3 3 29 2 15
0 3 3 30 2 15
0 3 3 31 2 15
0 3 3 32 2 15
0 3 3 33 2 15
0 3 3 34 2 15
0 3 3 35 2 15
0 3 3 36 2 15
0 3 3 37 2 15
0 3 3 38 2 15
0 3 3 39 2 15
0 3 3 40 2 15
0 3 3 41 2 15
0 3 3 42 2 15
0 3 3 43 2 15
0 3 3 44 2 15
0 3 3 45 2 15
0 3 3 46 2 15
0 3 3 47 2 15
0 3 3 48 2 15
0 3 3 49 2 15
0 3 3 50 2 15
0 3 3 51 2 15
0 3 3 52 2 15
0 3 3 53 2 15
0 3 3 54 2 15
0 3 3 55 2 15
0 3 3 56 2 15
0 3 3 57 2 15
0 3 3 58 2 15
0 3 3 59 2 15
0 3 3 60 2 15
0 3 3 61 2 15
0 3 3 62 2 15
0 3 3 63 2 15
0 3 3 64 2 15
0 3 3 65 2 15
0 3 3 66 2 15
0 3 3 67 2 15
1 0 0 0 0 15
1 0 0 1 0 15
1 0 0 2 0 15
1 0 0 3 0 15
1 0 0 4 0 15
1 0 0 5 0 15
1 0 0 6 0 15
1 0 0 7 0 15
1 0 0 8 0 15
1 0 0 9 0 15
1 0 0 10 0 15
1 0 0 11 0 7
1 0 0 12 0 15
1 0 0 13 0 15
1 0 0 14 0 15
1 0 0 15 0 15
1 0 0 16 0 15
1 0 0 17 0 15
1 0 0 18 0 15
1 0 0 19 0 15
1 0 0 20 0 15
1 0 0 21 0 15
1 0 0 22 0 7
1 0 0 23 0 15
1 0 0 24 0 15
1 0 0 25 0 15
1 0 0 26 0 7
1 0 0 27 0 8
1 0 0 28 0 7
1 0 0 29 0 8
1 0 0 30 0 7
1 0 0 31 0 7
1 0 0 32 0 7
1 0 0 33 0 7
1 0 0 34 0 6
1 0 0 35 0 7
1 0 0 36 0 7
1 0 0 37 0 6
1 0 0 38 0 6
1 0 0 39 0 7
1 0 0 40 0 7
1 0 0 41 0 7
1 0 0 42 0 7
1 0 0 43 0 7
1 0 0 44 0 7
1 0 0 45 0 7
1 0 0 46 0 7
1 0 0 47 0 7
1 0 0 48 0 7
1 0 0 49 0 7
1 0 0 50 0 7
1 0 0 51 0 7
1 0 0 52 0 7
1 0 0 53 0 8
1 0 0 54 0 7
1 0 0 55 0 7
1 0 0 56 0 7
1 0 0 57 0 7
1 0 0 58 0 7
1 0 0 59 0 7
1 0 0 60 0 7
1 0 0 61 0 7
